cell_id_token,center_latitude,center_longitude,count,config_name
8707,36.06991069362731,-101.34310583455695,6,config_1
87084,37.1279063705676,-100.98070031132626,23,config_1
8708c,37.05782634326976,-101.70682943311247,10,config_1
87091,37.582248898731216,-101.52480554998527,27,config_1
87093,37.54576186918883,-101.8891720843707,7,config_1
87095,37.88126605876298,-101.8891720843707,8,config_1
87097,37.91786407644686,-101.52480554998527,13,config_1
87099,37.95317939829766,-101.16173564777472,16,config_1
8709b,37.617457639305286,-101.16173564777472,20,config_1
8709d,37.65139818663326,-100.80000510701574,19,config_1
8709f,37.98722220570917,-100.80000510701574,48,config_1
870a4,38.470949065435285,-100.98070031132626,15,config_1
870a9,38.984796304981984,-100.80000510701574,12,config_1
870aac,39.40438834418337,-100.70978669392025,25,config_1
870ab4,39.387498328364224,-100.89030986411571,30,config_1
870abc,39.22335294061905,-100.89030986411571,18,config_1
870acc,39.37028815996284,-101.07117579220403,34,config_1
870ad4,39.35275646630586,-101.25237921655207,20,config_1
870af,38.950477358043486,-101.16173564777472,18,config_1
870b1,38.9148740680343,-101.52480554998527,34,config_1
870b3,39.243869314979136,-101.52480554998527,18,config_1
870b5,39.20688202679373,-101.8891720843707,21,config_1
870b7,38.87797600437521,-101.8891720843707,37,config_1
870bc,38.40001605776872,-101.70682943311247,5,config_1
870d,38.61504389066563,-102.80547525792774,11,config_1
87104,36.81668198411202,-103.91439904540992,33,config_1
8710c,36.72578603577055,-104.65878213755632,41,config_1
87164,37.198730971474454,-106.15809365922375,33,config_1
87175,36.485245148115986,-105.21948079223417,5,config_1
87176b,36.58118681525744,-105.45367176673147,7,config_1
87176d,36.56874281132185,-105.54743730866592,43,config_1
87176f,36.48434890620038,-105.54743730866592,15,config_1
871774,36.50774220284412,-105.68817878401569,12,config_1
8717d,36.669898534535236,-106.34637906744265,3,config_1
8717f,36.33308857384016,-106.34637906744265,50,config_1
87181,35.99480537681307,-106.34637906744265,20,config_1
871823,36.069762688176766,-106.11105011534488,36,config_1
871825,36.08265253413533,-106.0169970655137,2,config_1
871827,36.167357905142005,-106.0169970655137,15,config_1
87182c,36.14420314409097,-105.87600401452671,11,config_1
871839,35.91296844269162,-106.0169970655137,48,config_1
