index,config_1,config_2,config_3
870af,870af,870af,870ac
870b1,870b1,870b1,870b4
870b3,870b3,870b3,870b4
870b5,870b5,870b5,870b4
870b7,870b7,870b7,870b4
870bc,870bc,870bc,870bc
870d,870d,870d,870d
870f,870f,870f,870f
87104,87104,8711,8711
8710c,8710c,8711,8711
87164,87164,87164,8717
87175,87175,87174,8717
871764,871764,87174,8717
87176b,87176b,87174,8717
87176d,87176d,87174,8717
87176f,87176f,87174,8717
871774,871774,87174,8717
8717d,8717d,8717c,8717
8717e4,8717e4,8717c,8717
8717f4,8717f4,8717c,8717
8717fc,8717fc,8717c,8717
87181,87181,87181,87181
871823,871823,871824,87183
871825,871825,871824,87183
871827,871827,871824,87183
87182c,87182c,87182c,87183
871839,871839,871839,87183
87183b,87183b,87183b,87183
87183d,87183d,87183d,87183
871844,871844,871844,871844
87184c,87184c,87184c,87184c
8718501,8718501,8718504,8718504
8718503,8718503,8718504,8718504
8718505,8718505,8718504,8718504
8718507,8718507,8718504,8718504
8718509,8718509,8718509,871850c
871850b,871850b,871850b,871850c
871850d,871850d,871850d,871850c
871850f,871850f,871850f,871850c
8718514,8718514,8718514,8718514
871851c,871851c,871851c,871851c
871855,871855,871855,871855
871857,871857,871857,871857
871859,871859,871859,87185c
87185a1,87185a1,87185a4,87185c
87185a5,87185a5,87185a4,87185c
87185a7,87185a7,87185a4,87185c
87185ac,87185ac,87185ac,87185c
87185b4,87185b4,87185b4,87185c
87185bc,87185bc,87185bc,87185c
87185d,87185d,87185d,87185c
87185f,87185f,87185f,87185c
87187,87187,87187,87187
871884,871884,87189,87189
87188c,87188c,87189,87189
871894,871894,87189,87189
87189c,87189c,87189,87189
8718b,8718b,8718b,8718b
8718d,8718d,8718d,8718d
8718e1,8718e1,8718e4,8718f
8718e3,8718e3,8718e4,8718f
8718f4,8718f4,8718f4,8718f
8718f9,8718f9,8718fc,8718f
8718fb,8718fb,8718fc,8718f
8718fd,8718fd,8718fc,8718f
8718ff,8718ff,8718fc,8718f
87191,87191,87191,87191
87192c,87192c,87193,87193
871934,871934,87193,87193
87194c,87194c,87195,87195
871954,871954,87195,87195
87196c,87196c,87197,87197
871974,871974,87197,87197
87197c,87197c,87197,87197
8719c,8719c,8719c,8719c
871a4,871a4,871a4,871b
871b54,871b54,871b5,871b
871b5c,871b5c,871b5,871b
871b7,871b7,871b7,871b
871bc,871bc,871bc,871b
871c1,871c1,871c4,871c4
871c7,871c7,871c4,871c4
871c9,871c9,871c9,871cc
871ca4,871ca4,871cb,871cc
871cac,871cac,871cb,871cc
871cb4,871cb4,871cb,871cc
871cbc,871cbc,871cb,871cc
871cd,871cd,871cd,871cc
871cf,871cf,871cf,871cc
871d9,871d9,871dc,871dc
871db,871db,871dc,871dc
871ec,871ec,871f,871f
871fc,871fc,871f,871f
87a01,87a01,87a04,87a04
87a05,87a05,87a04,87a04
87a07,87a07,87a04,87a04
87a0c,87a0c,87a0c,87a0c
87a13,87a13,87a14,87a14
87a15,87a15,87a14,87a14
87a17,87a17,87a14,87a14
87a19,87a19,87a1c,87a1c
87a1b,87a1b,87a1c,87a1c
87a1d,87a1d,87a1c,87a1c
87a1f,87a1f,87a1c,87a1c
87a21,87a21,87a24,87a24
87a27,87a27,87a24,87a24
87a2c,87a2c,87a2c,87a2c
87a31,87a31,87a31,87a34
87a33,87a33,87a33,87a34
87a35,87a35,87a35,87a34
87a37,87a37,87a37,87a34
87a384,87a384,87a3c,87a3c
87a38c,87a38c,87a3c,87a3c
87a394,87a394,87a3c,87a3c
87a39c,87a39c,87a3c,87a3c
87a3b,87a3b,87a3c,87a3c
87a3d,87a3d,87a3c,87a3c
87a3f,87a3f,87a3c,87a3c
87a404,87a404,87a44,87a44
87a40c,87a40c,87a44,87a44
87a41c,87a41c,87a44,87a44
87a43,87a43,87a44,87a44
87a45,87a45,87a44,87a44
87a47,87a47,87a44,87a44
87a484,87a484,87a484,87a49
87a494,87a494,87a494,87a49
87a499,87a499,87a49c,87a49
87a49b,87a49b,87a49c,87a49
87a49d,87a49d,87a49c,87a49
87a49f,87a49f,87a49c,87a49
87a4a4,87a4a4,87a4a4,87a4a4
87a4ac,87a4ac,87a4ac,87a4ac
87a4b1,87a4b1,87a4b1,87a4b4
87a4b24,87a4b24,87a4b3,87a4b4
87a4b2c,87a4b2c,87a4b3,87a4b4
87a4b34,87a4b34,87a4b3,87a4b4
87a4b3c,87a4b3c,87a4b3,87a4b4
87a4b5,87a4b5,87a4b5,87a4b4
87a4b64,87a4b64,87a4b7,87a4b4
87a4b6c,87a4b6c,87a4b7,87a4b4
87a4b74,87a4b74,87a4b7,87a4b4
87a4b7c,87a4b7c,87a4b7,87a4b4
87a4b9,87a4b9,87a4bc,87a4bc
87a4bd,87a4bd,87a4bc,87a4bc
87a4bf,87a4bf,87a4bc,87a4bc
87a4c1,87a4c1,87a4c1,87a4c4
87a4c3,87a4c3,87a4c3,87a4c4
87a4c5,87a4c5,87a4c5,87a4c4
87a4c64,87a4c64,87a4c7,87a4c4
87a4c6c,87a4c6c,87a4c7,87a4c4
87a4c74,87a4c74,87a4c7,87a4c4
87a4c7c,87a4c7c,87a4c7,87a4c4
87a4c9,87a4c9,87a4c9,87a4cc
87a4cb,87a4cb,87a4cb,87a4cc
87a4cd,87a4cd,87a4cd,87a4cc
87a4cf,87a4cf,87a4cf,87a4cc
87a4ec,87a4ec,87a4f,87a4f
87a4f4,87a4f4,87a4f,87a4f
87a4fc,87a4fc,87a4f,87a4f
87a51,87a51,87a51,87a54
87a53,87a53,87a53,87a54
87a55,87a55,87a55,87a54
87a56c,87a56c,87a57,87a54
87a574,87a574,87a57,87a54
87a57c,87a57c,87a57,87a54
87a59,87a59,87a59,87a5c
87a5b,87a5b,87a5b,87a5c
87a5d,87a5d,87a5d,87a5c
87a5f,87a5f,87a5f,87a5c
87a64,87a64,87a64,87a64
87a69,87a69,87a69,87a6c
87a6a4,87a6a4,87a6b,87a6c
87a6ac,87a6ac,87a6b,87a6c
87a6b4,87a6b4,87a6b,87a6c
87a6d,87a6d,87a6d,87a6c
87a6e4,87a6e4,87a6f,87a6c
87a6ec,87a6ec,87a6f,87a6c
87a6f4,87a6f4,87a6f,87a6c
87a6fc,87a6fc,87a6f,87a6c
87a704,87a704,87a71,87a74
87a70c,87a70c,87a71,87a74
87a714,87a714,87a71,87a74
87a71ac,87a71ac,87a71,87a74
87a71b4,87a71b4,87a71,87a74
87a71d,87a71d,87a71,87a74
87a73,87a73,87a73,87a74
87a75,87a75,87a75,87a74
87a77,87a77,87a77,87a74
87a7c,87a7c,87a7c,87a7c
87aa4,87aa4,87ab,87ab
87aac,87aac,87ab,87ab
87abb,87abb,87ab,87ab
87abd,87abd,87ab,87ab
87abf,87abf,87ab,87ab
87ac04,87ac04,87ad,87ad
87ac1c,87ac1c,87ad,87ad
87ac3,87ac3,87ad,87ad
87ad4,87ad4,87ad,87ad
87adc,87adc,87ad,87ad
87af,87af,87af,87af
87b01,87b01,87b01,87b01
87b03,87b03,87b03,87b03
87b044,87b044,87b044,87b05
87b04b,87b04b,87b04b,87b05
87b04c4,87b04c4,87b04d,87b05
87b04cc,87b04cc,87b04d,87b05
87b04d4,87b04d4,87b04d,87b05
87b04f,87b04f,87b04f,87b05
87b054,87b054,87b054,87b05
87b05c,87b05c,87b05c,87b05
87b06c,87b06c,87b06c,87b07
87b071,87b071,87b071,87b07
87b073,87b073,87b073,87b07
87b075,87b075,87b075,87b07
87b077,87b077,87b077,87b07
87b07c,87b07c,87b07c,87b07
87b09,87b09,87b09,87b0c
87b0a4,87b0a4,87b0b,87b0c
87b0ac,87b0ac,87b0b,87b0c
87b0f54,87b0f54,87b0f,87b0c
87b0f5c,87b0f5c,87b0f,87b0c
87b0fc,87b0fc,87b0f,87b0c
87b101,87b101,87b104,87b104
87b103,87b103,87b104,87b104
87b105,87b105,87b104,87b104
87b109,87b109,87b10c,87b10c
87b10b,87b10b,87b10c,87b10c
87b111,87b111,87b114,87b114
87b117,87b117,87b114,87b114
87b13,87b13,87b13,87b13
87b144,87b144,87b15,87b15
87b14c,87b14c,87b15,87b15
87b15c,87b15c,87b15,87b15
87b17,87b17,87b17,87b17
87b18b,87b18b,87b18c,87b18c
87b18cc,87b18cc,87b18c,87b18c
87b18d4,87b18d4,87b18c,87b18c
87b18dc,87b18dc,87b18c,87b18c
87b191,87b191,87b191,87b194
87b1924,87b1924,87b1924,87b194
87b1929,87b1929,87b1929,87b194
