index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
87b692c,87b692c,87b693,87b693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6934,87b6934,87b693,87b693,-24620.37779886841,-235524.9073431707,172655.0488160494,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b693c,87b693c,87b693,87b693,-26737.341616855218,-256157.73595183424,187463.87773616877,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6944,87b6944,87b695,87b695,-9699.964367616953,-92203.38436267413,67494.63626024408,18.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b6949,87b6949,87b695,87b695,-11825.575023980873,-112653.79704559858,82551.3040733239,22.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b694b,87b694b,87b695,87b695,-6445.813432566983,-61432.51162273926,45049.11071286017,12.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b694d,87b694d,87b695,87b695,-15637.886677580474,-148455.1840296568,108869.17293721339,29.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b694f,87b694f,87b695,87b695,-11319.671068707908,-107539.42777217852,78785.89610038434,21.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b6954,87b6954,87b695,87b695,-8140.363902850417,-76803.98120698813,56281.228033522406,15.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b695c,87b695c,87b695,87b695,-2168.79665077662,-20486.826104791067,15000.7442253533,4.0,0.0,0.0,0.0,0.0,-65238.071124080234,-619575.1121446266,454032.09234290157,121.0
87b6964,87b6964,87b697,87b697,-11947.969434582199,-112764.58011144333,82382.24551784624,22.0,-35687.52234899716,-338292.5544403651,247170.95511731567,66.0,-35687.52234899716,-338292.5544403651,247170.95511731567,66.0
87b696c,87b696c,87b697,87b697,-21577.313967094364,-205013.69949252906,149824.5777746045,40.0,-35687.52234899716,-338292.5544403651,247170.95511731567,66.0,-35687.52234899716,-338292.5544403651,247170.95511731567,66.0
87b69c,87b69c,87b69c,87b69c,-3804.219448653671,-35934.568078534765,26136.789191454198,7.0,-3804.219448653671,-35934.568078534765,26136.789191454198,7.0,-3804.219448653671,-35934.568078534765,26136.789191454198,7.0
87b6a4,87b6a4,87b6a4,87b6b,-3282.0468619104804,-30829.92784915388,22360.116576585675,6.0,-3282.0468619104804,-30829.92784915388,22360.116576585675,6.0,-81643.13610446971,-753416.4853722729,550270.5165870248,147.0
87b6ac,87b6ac,87b6ac,87b6b,-10301.71390914192,-92391.7892452573,67146.83331576688,18.0,-10301.71390914192,-92391.7892452573,67146.83331576688,18.0,-81643.13610446971,-753416.4853722729,550270.5165870248,147.0
87b6b4,87b6b4,87b6b4,87b6b,-16511.355010603806,-148588.12269479295,108558.28841855901,29.0,-16511.355010603806,-148588.12269479295,108558.28841855901,29.0,-81643.13610446971,-753416.4853722729,550270.5165870248,147.0
87b6bb,87b6bb,87b6bc,87b6b,-6132.286183386676,-56380.420636325856,41170.41611520601,11.0,-51548.020322813485,-481606.64558306884,352205.2782761132,94.0,-81643.13610446971,-753416.4853722729,550270.5165870248,147.0
87b6bd,87b6bd,87b6bc,87b6b,-21935.680907800557,-205029.13265016687,149751.3721133385,40.0,-51548.020322813485,-481606.64558306884,352205.2782761132,94.0,-81643.13610446971,-753416.4853722729,550270.5165870248,147.0
87b6bf,87b6bf,87b6bc,87b6b,-23480.053231626254,-220197.0922965761,161283.49004756875,43.0,-51548.020322813485,-481606.64558306884,352205.2782761132,94.0,-81643.13610446971,-753416.4853722729,550270.5165870248,147.0
87b6d,87b6d,87b6d,87b6d,-25174.009776851442,-235216.643704436,172994.49530933148,46.0,-25174.009776851442,-235216.643704436,172994.49530933148,46.0,-25174.009776851442,-235216.643704436,172994.49530933148,46.0
87b6e3,87b6e3,87b6e4,87b6e4,-26440.71278918525,-254964.23793679962,189125.59214137652,50.0,-42872.54410532819,-413190.6746724852,306177.41808302,81.0,-42872.54410532819,-413190.6746724852,306177.41808302,81.0
87b6e5,87b6e5,87b6e4,87b6e4,-15353.567401906364,-148014.28473741404,109508.06894859223,29.0,-42872.54410532819,-413190.6746724852,306177.41808302,81.0,-42872.54410532819,-413190.6746724852,306177.41808302,81.0
87b6e7,87b6e7,87b6e4,87b6e4,-1078.2639142365758,-10212.151998271682,7543.756993051236,2.0,-42872.54410532819,-413190.6746724852,306177.41808302,81.0,-42872.54410532819,-413190.6746724852,306177.41808302,81.0
87b6e9,87b6e9,87b6e9,87b6e9,-11275.567814694807,-107353.63708570338,79045.16925978304,21.0,-11275.567814694807,-107353.63708570338,79045.16925978304,21.0,-11275.567814694807,-107353.63708570338,79045.16925978304,21.0
87b6ea4,87b6ea4,87b6eb,87b6eb,-2163.3253241306325,-20461.559258479832,15035.978835967635,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6eac,87b6eac,87b6eb,87b6eb,-1630.35214220708,-15346.75530954189,11275.053457708427,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
