index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
8702de7,8702de7,8702de7,8702de4,-43235.00506473611,-184196.5983789923,129640.52831526953,36.0,-43235.00506473611,-184196.5983789923,129640.52831526953,36.0,-193169.93106340215,-823688.9891495139,579955.8025623258,161.0
8702de9,8702de9,8702dec,8702dec,-55339.58871870408,-235358.8170302632,165625.09755043517,46.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0
8702deb,8702deb,8702dec,8702dec,-19270.69161433138,-81857.7199002413,57610.16246502334,16.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0
8702ded,8702ded,8702dec,8702dec,-8429.95699656631,-35805.19559387722,25215.5049685344,7.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0
8702def,8702def,8702dec,8702dec,-21645.27452367045,-92075.8741706143,64842.8513376582,18.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0,-104685.5118532722,-445097.60669499607,313293.61632165103,87.0
8702df4,8702df4,8702df4,8702df4,-7211.197451244982,-30682.190671502805,21629.44528173263,6.0,-7211.197451244982,-30682.190671502805,21629.44528173263,6.0,-7211.197451244982,-30682.190671502805,21629.44528173263,6.0
8702dfc,8702dfc,8702dfc,8702dfc,-15584.432233894675,-66481.50543176019,46872.19222772224,13.0,-15584.432233894675,-66481.50543176019,46872.19222772224,13.0,-15584.432233894675,-66481.50543176019,46872.19222772224,13.0
8702e1,8702e1,8702e4,8702f,-59780.46695541392,-255872.71574500523,180082.80629739034,50.0,-119520.75960463271,-511855.40925474116,360022.5584650715,100.0,-124298.74606868383,-532357.6312463798,374384.51289406273,104.0
8702e7,8702e7,8702e4,8702f,-59740.292649218776,-255982.69350973592,179939.75216768112,50.0,-119520.75960463271,-511855.40925474116,360022.5584650715,100.0,-124298.74606868383,-532357.6312463798,374384.51289406273,104.0
8702ec,8702ec,8702ec,8702f,-4777.986464051142,-20502.221991638624,14361.954428991252,4.0,-4777.986464051142,-20502.221991638624,14361.954428991252,4.0,-124298.74606868383,-532357.6312463798,374384.51289406273,104.0
87031,87031,87034,87034,-4764.763526147227,-20431.95573380925,14466.104347966608,4.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0
870324,870324,87034,87034,-37253.85421429964,-158312.86834625274,112053.02220302346,31.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0
87032c,87032c,87034,87034,-41391.37022472031,-173358.93013919902,123106.3777540145,34.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0
87033c,87033c,87034,87034,-1196.2905918353247,-5094.6399227594375,3633.6326186048914,1.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0
87035,87035,87034,87034,-13213.776873338935,-55864.64214169245,40198.00418749163,11.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0
87037,87037,87034,87034,-4684.36046653407,-20292.95094831638,14686.330368917485,4.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0,-102504.41589687551,-433355.9872320292,308143.4714800185,85.0
8703c,8703c,8703c,8703c,-3333.7047358160185,-15252.206098154958,11025.517844641063,3.0,-3333.7047358160185,-15252.206098154958,11025.517844641063,3.0,-3333.7047358160185,-15252.206098154958,11025.517844641063,3.0
8705,8705,8705,8705,-22719.48617544042,-100794.31941667023,74558.74632781377,20.0,-22719.48617544042,-100794.31941667023,74558.74632781377,20.0,-22719.48617544042,-100794.31941667023,74558.74632781377,20.0
8707,8707,8707,8707,-19434.796073730322,-95892.39924744463,71262.58907138156,19.0,-19434.796073730322,-95892.39924744463,71262.58907138156,19.0,-19434.796073730322,-95892.39924744463,71262.58907138156,19.0
87084,87084,87084,8709,-21971.020419830154,-114516.36497600276,88741.2828503951,23.0,-21971.020419830154,-114516.36497600276,88741.2828503951,23.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
8708c,8708c,8708c,8709,-12367.88657763041,-59771.70617004998,46035.1714680575,12.0,-12367.88657763041,-59771.70617004998,46035.1714680575,12.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
87091,87091,87094,8709,-26136.37487802254,-128657.23481787193,101009.15779874801,26.0,-53717.53155712489,-261653.1694409529,206558.6922742009,53.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
