index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
54951a9,54951a9,54951a9,54951a9,-82661.59277794784,-127293.59230000793,154548.23367686893,34.0,-82661.59277794784,-127293.59230000793,154548.23367686893,34.0,-82661.59277794784,-127293.59230000793,154548.23367686893,34.0
54951aa4,54951aa4,54951aa4,54951ab,-65616.32866118207,-101103.14155803085,122729.71148237892,27.0,-65616.32866118207,-101103.14155803085,122729.71148237892,27.0,-269720.16154143517,-415600.8000429453,504612.07571683434,111.0
54951aac,54951aac,54951aac,54951ab,-48581.83482906249,-74898.9223845123,90916.7636235045,20.0,-48581.83482906249,-74898.9223845123,90916.7636235045,20.0,-269720.16154143517,-415600.8000429453,504612.07571683434,111.0
54951ab4,54951ab4,54951ab4,54951ab,-72885.63710948384,-112315.76314314263,136395.12788747394,30.0,-72885.63710948384,-112315.76314314263,136395.12788747394,30.0,-269720.16154143517,-415600.8000429453,504612.07571683434,111.0
54951abc,54951abc,54951abc,54951ab,-82636.36094170682,-127282.97295725955,154570.47272347685,34.0,-82636.36094170682,-127282.97295725955,154570.47272347685,34.0,-269720.16154143517,-415600.8000429453,504612.07571683434,111.0
54951ac4,54951ac4,54951ad,54951ad,-51045.513235522,-78601.64241811,95478.89003285911,21.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0
54951acc,54951acc,54951ad,54951ad,-68034.48436467542,-104804.78361580914,127317.05525629729,28.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0
54951ad4,54951ad4,54951ad,54951ad,-60749.94406202124,-93555.78590194091,113689.73046157349,25.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0
54951adc,54951adc,54951ad,54951ad,-14586.250224257798,-22451.004890781212,27284.149108565063,6.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0,-194416.19188647644,-299413.21682664123,363769.8248592949,80.0
54951af,54951af,54951af,54951af,-4864.634708169597,-7484.525081281651,9092.646578731901,2.0,-4864.634708169597,-7484.525081281651,9092.646578731901,2.0,-4864.634708169597,-7484.525081281651,9092.646578731901,2.0
54951b4,54951b4,54951b4,54951b4,-36498.69356421113,-56082.00154398229,68230.11478894894,15.0,-36498.69356421113,-56082.00154398229,68230.11478894894,15.0,-36498.69356421113,-56082.00154398229,68230.11478894894,15.0
54951b9,54951b9,54951bc,54951bc,-17046.31942315758,-26168.490118311478,31836.001830244957,7.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0
54951bb,54951bb,54951bc,54951bc,-31656.246271246655,-48614.6380462537,59111.480669613025,13.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0
54951bd,54951bd,54951bc,54951bc,-75553.35056919236,-115915.83223154857,140932.477567013,31.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0
54951bf,54951bf,54951bc,54951bc,-21942.34235074252,-33637.644516867156,40924.472844502336,9.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0,-146198.2586143391,-224336.6049129809,272804.4329113733,60.0
54951d,54951d,54951d,54951d,-58459.61494811007,-89614.25133591898,109231.1986923846,24.0,-58459.61494811007,-89614.25133591898,109231.1986923846,24.0,-58459.61494811007,-89614.25133591898,109231.1986923846,24.0
54953,54953,54953,54953,-112663.86833672639,-172408.0313074532,208495.05120831807,46.0,-112663.86833672639,-172408.0313074532,208495.05120831807,46.0,-112663.86833672639,-172408.0313074532,208495.05120831807,46.0
549544,549544,549544,54955,-119740.22271335773,-184317.9950631245,221686.7176285164,49.0,-119740.22271335773,-184317.9950631245,221686.7176285164,49.0,-489817.8788016891,-752823.402162061,903834.5730831069,200.0
5495484,5495484,54954c,54955,-27039.173292611704,-41282.95314059084,49759.02766506813,11.0,-194269.27179132102,-296642.99496123777,357187.56146638555,79.0,-489817.8788016891,-752823.402162061,903834.5730831069,200.0
549548c,549548c,54954c,54955,-39321.0669733565,-60090.28473816825,72346.30612671291,16.0,-194269.27179132102,-296642.99496123777,357187.56146638555,79.0,-489817.8788016891,-752823.402162061,903834.5730831069,200.0
5495494,5495494,54954c,54955,-68850.35856276918,-105165.04227551924,126579.25518286259,28.0,-194269.27179132102,-296642.99496123777,357187.56146638555,79.0,-489817.8788016891,-752823.402162061,903834.5730831069,200.0
549549c,549549c,54954c,54955,-34450.14447469611,-52530.169187443506,63319.50982822708,14.0,-194269.27179132102,-296642.99496123777,357187.56146638555,79.0,-489817.8788016891,-752823.402162061,903834.5730831069,200.0
54954d,54954d,54954c,54955,-12330.895643494612,-18783.340792593266,22580.497128863368,5.0,-194269.27179132102,-296642.99496123777,357187.56146638555,79.0,-489817.8788016891,-752823.402162061,903834.5730831069,200.0
