index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
8644fc,8644fc,8644f,8644f,-6148.18195663025,-48929.54820073709,29255.21764723009,9.0,-37946.60415503562,-293874.5513910853,174805.15391513373,54.0,-37946.60415503562,-293874.5513910853,174805.15391513373,54.0
86451,86451,86451,86454,-5569.082912952249,-43354.049926161446,26213.335749268237,8.0,-5569.082912952249,-43354.049926161446,26213.335749268237,8.0,-73710.23609070368,-557655.262890937,337928.3206893104,103.0
86453,86453,86453,86454,-26221.285717486942,-195332.93535257573,117309.74985272282,36.0,-26221.285717486942,-195332.93535257573,117309.74985272282,36.0,-73710.23609070368,-557655.262890937,337928.3206893104,103.0
86455,86455,86455,86454,-25293.693092701138,-189235.38284499277,115205.95261002441,35.0,-25293.693092701138,-189235.38284499277,115205.95261002441,35.0,-73710.23609070368,-557655.262890937,337928.3206893104,103.0
86457,86457,86457,86454,-16626.17436756335,-129732.89476720714,79199.28247729491,24.0,-16626.17436756335,-129732.89476720714,79199.28247729491,24.0,-73710.23609070368,-557655.262890937,337928.3206893104,103.0
8645c,8645c,8645c,8645c,-14082.820542803333,-119441.77607058064,71976.49031241682,22.0,-14082.820542803333,-119441.77607058064,71976.49031241682,22.0,-14082.820542803333,-119441.77607058064,71976.49031241682,22.0
86464,86464,86464,86464,-2879.772306235422,-27131.011876161105,16441.939423460593,5.0,-2879.772306235422,-27131.011876161105,16441.939423460593,5.0,-2879.772306235422,-27131.011876161105,16441.939423460593,5.0
864681,864681,864681,864681,-9718.32993449149,-87130.36301451726,52007.97235275317,16.0,-9718.32993449149,-87130.36301451726,52007.97235275317,16.0,-9718.32993449149,-87130.36301451726,52007.97235275317,16.0
8646824,8646824,8646824,864683,-1217.6348572116815,-10896.17572672428,6492.282195370459,2.0,-1217.6348572116815,-10896.17572672428,6492.282195370459,2.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
8646834,8646834,8646834,864683,-16382.571228940667,-147167.04033906228,87540.85996837466,27.0,-16382.571228940667,-147167.04033906228,87540.85996837466,27.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
8646838c,8646838c,8646838c,864683,-604.4339499730677,-5449.069297966741,3245.3130073620996,1.0,-604.4339499730677,-5449.069297966741,3245.3130073620996,1.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
86468394,86468394,86468394,864683,-23605.872350823003,-212515.16576884227,126558.60853742356,39.0,-23605.872350823003,-212515.16576884227,126558.60853742356,39.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
86468399,86468399,8646839c,864683,-19982.95703673208,-179837.36860611575,107058.13090910761,33.0,-58728.62363531904,-528626.2173923776,314665.3097292453,97.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
8646839b,8646839b,8646839c,864683,-2421.024716769629,-21798.414294679507,12977.049860936173,4.0,-58728.62363531904,-528626.2173923776,314665.3097292453,97.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
8646839d,8646839d,8646839c,864683,-16339.841316513097,-147144.77252407782,87586.27479685331,27.0,-58728.62363531904,-528626.2173923776,314665.3097292453,97.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
8646839f,8646839f,8646839c,864683,-19984.80056530425,-179845.66196750445,107043.85416234827,33.0,-58728.62363531904,-528626.2173923776,314665.3097292453,97.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
864683b,864683b,864683b,864683,-13944.34193611438,-125340.59770325954,74614.13452038456,23.0,-13944.34193611438,-125340.59770325954,74614.13452038456,23.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
864683f,864683f,864683f,864683,-2419.0136354179385,-21794.455252248503,12984.072587231658,4.0,-2419.0136354179385,-21794.455252248503,12984.072587231658,4.0,-116902.49159379979,-1051788.721480481,626100.5805453922,193.0
864685,864685,864685,864685,-9639.581983212382,-87193.76926663204,51916.27499705693,16.0,-9639.581983212382,-87193.76926663204,51916.27499705693,16.0,-9639.581983212382,-87193.76926663204,51916.27499705693,16.0
864694,864694,864694,864694,-1189.7116307890278,-10909.847732142623,6474.474589936815,2.0,-1189.7116307890278,-10909.847732142623,6474.474589936815,2.0,-1189.7116307890278,-10909.847732142623,6474.474589936815,2.0
8646b,8646b,8646b,8646b,-25422.270283503585,-229887.10324106616,134557.29421468233,42.0,-25422.270283503585,-229887.10324106616,134557.29421468233,42.0,-25422.270283503585,-229887.10324106616,134557.29421468233,42.0
8646d,8646d,8646d,8646d,-20774.465224114927,-202578.38228981703,118733.71055649698,37.0,-20774.465224114927,-202578.38228981703,118733.71055649698,37.0,-20774.465224114927,-202578.38228981703,118733.71055649698,37.0
86471,86471,86471,86471,-16401.94114596875,-169077.17457440277,100749.8465523571,31.0,-16401.94114596875,-169077.17457440277,100749.8465523571,31.0,-16401.94114596875,-169077.17457440277,100749.8465523571,31.0
864724,864724,864724,86473,-3231.90689071019,-32837.75781644482,19299.365443956332,6.0,-3231.90689071019,-32837.75781644482,19299.365443956332,6.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
86472c,86472c,86472c,86473,-7550.89400011622,-76784.09641702619,44752.30703476864,14.0,-7550.89400011622,-76784.09641702619,44752.30703476864,14.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
864731,864731,864731,86473,-6340.588116780536,-65772.18661454017,38454.385256608795,12.0,-6340.588116780536,-65772.18661454017,38454.385256608795,12.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
864733,864733,864733,86473,-4777.718089347023,-49393.47025104618,28726.78028553327,9.0,-4777.718089347023,-49393.47025104618,28726.78028553327,9.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
864735,864735,864735,86473,-21384.927636030126,-224996.55825230412,130960.26155223094,41.0,-21384.927636030126,-224996.55825230412,130960.26155223094,41.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
8647364,8647364,864737,86473,-518.5345131676818,-5484.6281664254575,3199.957650404754,1.0,-28287.65035205199,-296069.67860757024,172922.70801610002,54.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
864736c,864736c,864737,86473,-16772.611100306436,-175466.5945894868,102440.51985378758,32.0,-28287.65035205199,-296069.67860757024,172922.70801610002,54.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
8647374,8647374,864737,86473,-10996.50473857788,-115118.455851658,67282.23051190769,21.0,-28287.65035205199,-296069.67860757024,172922.70801610002,54.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
86473c,86473c,86473c,86473,-4712.425474037876,-49291.37322000855,28912.31063079767,9.0,-4712.425474037876,-49291.37322000855,28912.31063079767,9.0,-76286.11055907398,-795145.1211789403,464028.11821999564,145.0
86475,86475,86475,86475,-15092.805487939193,-164430.4066255815,96256.8522113553,30.0,-15092.805487939193,-164430.4066255815,96256.8522113553,30.0,-15092.805487939193,-164430.4066255815,96256.8522113553,30.0
86477,86477,86477,86477,-490.2395650029412,-5462.27969112347,3242.363162035255,1.0,-490.2395650029412,-5462.27969112347,3242.363162035255,1.0,-490.2395650029412,-5462.27969112347,3242.363162035255,1.0
8647c,8647c,8647c,8647c,-6143.519851589005,-65150.94128216549,39527.253824848594,12.0,-6143.519851589005,-65150.94128216549,39527.253824848594,12.0,-6143.519851589005,-65150.94128216549,39527.253824848594,12.0
86484,86484,86484,8649,-9523.501963413828,-102182.75315842891,64192.69333165526,19.0,-9523.501963413828,-102182.75315842891,64192.69333165526,19.0,-67080.90352393585,-669198.9181715093,426441.2737178602,125.0
8648c,8648c,8648c,8649,-16492.22936322865,-155704.4053798681,98079.12136921698,29.0,-16492.22936322865,-155704.4053798681,98079.12136921698,29.0,-67080.90352393585,-669198.9181715093,426441.2737178602,125.0
86494,86494,86494,8649,-18629.89499962367,-176111.67710306338,113310.56305482873,33.0,-18629.89499962367,-176111.67710306338,113310.56305482873,33.0,-67080.90352393585,-669198.9181715093,426441.2737178602,125.0
8649c,8649c,8649c,8649,-22435.27719766972,-235200.0825301487,150858.8959621592,44.0,-22435.27719766972,-235200.0825301487,150858.8959621592,44.0,-67080.90352393585,-669198.9181715093,426441.2737178602,125.0
864a4,864a4,864a4,864b,-15292.59516690287,-158778.33852162733,105287.57076774638,30.0,-15292.59516690287,-158778.33852162733,105287.57076774638,30.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
864ac,864ac,864ac,864b,-5600.0305501419325,-57830.48296560889,39186.66311467024,11.0,-5600.0305501419325,-57830.48296560889,39186.66311467024,11.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
864b1,864b1,864b4,864b,-538.4247707673078,-5269.220155864117,3540.5043207058716,1.0,-33526.164763829904,-304277.1011942545,206964.18497135997,58.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
864b3,864b3,864b4,864b,-3295.81747293497,-31433.916502695512,21500.38681830535,6.0,-33526.164763829904,-304277.1011942545,206964.18497135997,58.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
864b5,864b5,864b4,864b,-26775.581303647905,-241303.63737487272,164143.9636525959,46.0,-33526.164763829904,-304277.1011942545,206964.18497135997,58.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
864b7,864b7,864b4,864b,-2916.3412164797182,-26270.327160822082,17779.330179752847,5.0,-33526.164763829904,-304277.1011942545,206964.18497135997,58.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
